,# PDB,function,Heme,multiheme,ligand,axial1,axial2,pocket_volume,saddling,ruffling,doming,breathing,rotation,wavx,wavy,pro,nstr,mstr,transx,transy
1638,1mnh,oxygen carrier,HEM_A_154,0,HIS,HIS,,539.0,0.066,0.293,-0.28,-0.08,-0.035,0.311,0.057,0.01,0.012,-0.131,-0.025,-0.003
1647,1mnp,oxidoreductase,HEM_A_396,0,HIS-HOH,HIS,HOH,478.0,-0.629,0.278,0.204,-0.084,-0.015,-0.074,0.083,0.014,-0.018,-0.026,-0.019,0.012
1648,1moa,oxygen carrier,HEM_A_154,0,HIS,HIS,,558.0,0.16,0.073,-0.304,-0.12,-0.035,0.067,0.042,-0.014,0.012,-0.021,-0.008,-0.01
1649,1mob,oxygen carrier,HEM_A_154,0,HIS,HIS,,592.0,0.096,0.061,-0.368,-0.002,0.014,0.076,-0.054,0.023,-0.11,-0.124,-0.019,-0.028
1650,1moc,oxygen carrier,HEM_A_154,0,HIS-CMO,HIS,CMO,563.0,0.119,-0.024,-0.183,-0.154,0.052,0.158,0.047,0.034,0.176,0.059,-0.005,-0.064
1651,1mod,oxygen carrier,HEM_A_154,0,HIS,HIS,,569.0,0.07,-0.004,-0.398,-0.04,0.005,0.138,0.01,0.018,0.189,-0.005,-0.045,-0.031
1652,1moh,oxygen carrier,HEM_A_143,0,HIS-H2S,HIS,H2S,574.0,-0.387,-0.396,0.011,0.408,0.21,0.247,-0.095,0.03,0.506,-0.139,-0.109,-0.061
1655,1mqf,oxidoreductase,HEM_A_501,0,TYR-O,TYR,O,412.0,0.266,0.542,0.345,-0.144,0.008,-0.112,0.083,0.031,-0.221,-0.094,-0.054,0.065
1658,1mti,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,562.0,0.101,-0.16,-0.258,-0.176,0.064,0.187,0.064,0.07,0.099,0.089,0.044,0.112
1659,1mtj,oxygen carrier,HEM_A_154,0,HIS,HIS,,545.0,0.007,-0.009,-0.458,-0.016,-0.024,0.094,0.031,0.033,0.005,-0.028,0.044,-0.109
1660,1mtk,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,542.0,0.15,-0.053,-0.288,-0.071,0.03,0.161,-0.047,0.043,0.054,-0.033,0.005,-0.003
1673,1mym,oxygen carrier,HEM_A_154,0,HIS-CMO,HIS,CMO,560.0,0.093,-0.055,-0.179,-0.036,-0.018,0.12,0.013,0.007,0.026,0.027,0.002,-0.035
1676,1myt,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,535.0,-0.014,-0.172,-0.307,-0.175,0.007,0.147,0.099,-0.043,-0.011,-0.042,0.022,-0.002
1677,1myz,transferase,HEM_A_200,0,HIS-CMO,HIS,CMO,547.0,0.062,0.104,-0.171,-0.151,0.009,0.144,0.073,-0.006,-0.033,-0.034,-0.043,0.02
1678,1mz0,oxygen carrier,HEM_A_200,0,HIS-CMO,HIS,CMO,547.0,0.062,0.104,-0.171,-0.151,0.009,0.144,0.073,-0.006,-0.033,-0.034,-0.043,0.02
1679,1mz4,electron transporter,HEC_A_151,0,HIS-HIS,HIS,HIS,444.0,0.155,-0.254,0.021,-0.133,0.006,0.059,-0.092,0.052,0.019,0.068,-0.002,-0.007
1686,1n40,oxidoreductase,HEM_A_462,0,HOH-OXY,HOH,OXY,463.0,-0.611,-0.542,-0.072,-0.05,0.018,-0.126,0.114,-0.025,-0.025,-0.01,0.045,-0.016
1689,1n4g,oxidoreductase,HEM_A_462,0,CYS-HOH,CYS,HOH,489.0,-0.522,-0.584,-0.025,-0.272,-0.004,-0.139,0.187,-0.014,-0.118,0.017,0.009,0.055
1692,1n5u,oxidoreductase,HEM_A_605,0,TYR,TYR,,494.0,-0.159,0.0,-0.059,-0.179,-0.013,-0.008,-0.001,0.001,-0.013,0.016,-0.036,0.024
1693,1n6b,oxidoreductase,HEM_A_500,0,CYS,CYS,,398.0,-0.474,0.176,-0.037,0.129,0.016,-0.306,-0.03,0.062,-0.014,-0.035,-0.004,-0.062
1698,1n9f,oxygen carrier,HEM_A_200,0,HIS-OH,HIS,OH,484.0,0.086,0.079,-0.303,-0.093,-0.002,0.252,0.153,-0.014,0.012,0.016,-0.041,0.011
1699,1n9h,oxygen carrier,HEM_A_200,0,HIS-OH,HIS,OH,475.0,0.074,0.097,-0.282,-0.085,0.006,0.264,0.11,-0.006,-0.01,-0.016,-0.005,-0.023
1700,1n9i,oxygen carrier,HEM_A_200,0,HIS-OH,HIS,OH,480.0,0.084,0.057,-0.282,-0.098,0.003,0.279,0.137,-0.008,-0.009,0.005,-0.013,-0.011
1701,1n9x,oxygen carrier,HEM_A_200,0,HIS-OH,HIS,OH,510.0,0.084,0.068,-0.262,-0.1,0.002,0.27,0.149,-0.005,-0.013,-0.022,-0.036,-0.013
1702,1naz,oxygen carrier,HEM_A_200,0,HIS-OH,HIS,OH,489.0,0.117,0.105,-0.291,-0.08,0.005,0.28,0.155,-0.01,-0.017,0.004,-0.006,-0.011
1709,1nek,electron transporter,HEM_C_305,0,HIS-HIS,HIS,HIS,498.0,-0.177,0.048,-0.024,-0.043,0.005,-0.004,-0.009,-0.005,-0.093,-0.119,-0.033,0.063
1710,1nen,electron transporter,HEM_C_305,0,HIS-HIS,HIS,HIS,493.0,-0.197,0.029,-0.006,-0.139,0.0,0.006,-0.001,-0.002,-0.045,-0.198,-0.01,-0.005
1727,1nm0,oxidoreductase,HEM_A_491,0,TYR-FMT,TYR,FMT,413.0,0.081,0.323,0.374,-0.055,-0.015,-0.062,0.058,0.009,-0.156,0.017,-0.036,-0.027
1732,1noc,oxidoreductase,HEM_A_901,0,CYS-IMD,CYS,IMD,495.0,-0.212,-0.542,0.002,0.217,0.031,-0.072,-0.147,-0.019,0.033,-0.061,-0.025,0.043
1735,1noo,oxidoreductase,HEM_A_417,0,CYS-CAH,CYS,CAH,465.0,0.362,-0.395,0.0,0.004,-0.002,-0.022,-0.014,-0.035,0.057,-0.017,-0.025,0.04
1736,1nos,oxidoreductase,HEM_A_901,0,CYS-IMD,CYS,IMD,519.0,0.0,-0.682,0.133,-0.012,0.013,-0.074,-0.05,0.009,-0.131,-0.004,0.097,0.028
1739,1np4,oxidoreductase,HEM_A_185,0,HIS-NH3,HIS,NH3,549.0,0.32,0.74,0.056,-0.04,0.008,-0.179,0.044,0.064,-0.028,0.003,-0.009,0.006
1740,1npf,oxygen carrier,HEM_A_154,0,HIS-NO,HIS,NO,554.0,0.132,-0.084,-0.15,-0.17,0.006,0.079,0.076,-0.029,-0.042,-0.047,-0.079,0.06
1741,1npg,oxygen carrier,HEM_A_154,0,HIS-NOE,HIS,NOE,520.0,0.041,-0.196,-0.097,-0.196,-0.008,0.169,0.018,-0.063,-0.021,0.048,-0.061,0.084
1746,1nr6,oxidoreductase,HEM_A_500,0,CYS,CYS,,367.0,-0.274,0.177,-0.102,-0.005,0.007,-0.04,-0.218,-0.081,-0.013,-0.052,-0.014,0.016
1757,1ntf,oxidoreductase,HEM_A_300,0,CYS-HOH,CYS,HOH,493.0,-0.084,-0.453,-0.273,-0.264,-0.054,0.074,0.1,-0.012,-0.004,-0.161,-0.086,-0.005
1775,1nz2,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,561.0,0.006,-0.095,-0.187,-0.137,0.001,0.195,0.063,0.009,-0.001,-0.005,0.023,0.021
1776,1nz3,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,559.0,0.01,-0.13,-0.249,-0.188,-0.019,0.161,0.095,-0.034,-0.03,-0.028,-0.004,0.033
1777,1nz4,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,550.0,0.063,-0.206,-0.231,-0.157,-0.018,0.175,0.115,-0.029,-0.012,0.042,-0.005,0.007
1778,1nz5,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,560.0,0.023,-0.146,-0.268,-0.073,-0.004,0.168,0.018,-0.0,-0.103,-0.109,0.024,0.029
1779,1o16,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,571.0,0.152,-0.057,-0.153,-0.008,-0.002,0.099,0.033,-0.007,-0.003,0.006,0.001,-0.02
1814,1oaf,oxidoreductase,HEM_A_1251,0,HIS-HOH,HIS,HOH,439.0,-0.826,0.211,-0.033,-0.127,0.038,-0.181,0.074,-0.034,0.028,-0.054,-0.027,0.001
1815,1oag,oxidoreductase,HEM_A_251,0,HIS-HOH,HIS,HOH,426.0,-0.811,0.124,-0.043,-0.072,0.042,-0.194,0.057,-0.054,0.012,0.084,-0.051,0.02
1826,1obm,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,525.0,0.287,-0.228,-0.147,-0.053,0.046,0.138,-0.0,-0.025,-0.06,-0.038,-0.015,0.029
1843,1odo,oxidoreductase,HEM_A_1407,0,CYS-PIM,CYS,PIM,394.0,0.082,0.015,0.048,-0.153,0.027,-0.007,-0.004,0.006,-0.042,0.009,0.008,-0.005
1844,1ofj,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,565.0,0.14,0.156,-0.218,-0.063,-0.008,0.131,-0.025,-0.009,0.045,0.064,-0.01,0.019
1845,1ofk,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,557.0,0.117,0.026,-0.201,0.003,-0.009,0.149,-0.081,-0.013,0.058,0.018,-0.018,-0.004
1907,1oxa,oxidoreductase,HEM_A_410,0,CYS,CYS,,485.0,-0.092,-0.372,-0.269,0.047,-0.036,-0.019,0.141,0.029,-0.142,-0.074,0.026,-0.079
1934,1p2y,oxidoreductase,HEM_A_430,0,CYS-NCT,CYS,NCT,478.0,0.439,-0.046,-0.053,-0.092,-0.002,0.183,0.032,-0.081,0.054,-0.003,0.013,0.021
1935,1p3t,oxidoreductase,HEM_A_300,0,HIS,HIS,,530.0,0.286,0.647,-0.386,-0.102,-0.007,0.082,-0.045,0.096,-0.054,-0.035,-0.093,0.113
1936,1p3u,oxidoreductase,HEM_A_300,0,HIS-NO,HIS,NO,555.0,0.403,0.486,0.016,-0.101,0.001,-0.03,-0.158,0.017,-0.049,-0.001,0.006,0.02
1937,1p3v,oxidoreductase,HEM_A_300,0,HIS-CMO,HIS,CMO,508.0,0.143,0.38,-0.125,-0.164,0.005,0.196,-0.144,0.005,-0.064,-0.107,-0.048,0.057
1952,1p7r,oxidoreductase,HEM_A_430,0,CYS,CYS,,479.0,0.312,-0.215,-0.035,-0.068,-0.007,0.15,-0.039,-0.042,0.083,-0.011,0.04,0.018
1968,1pa2,oxidoreductase,HEM_A_306,0,HIS-HOH,HIS,HOH,421.0,-0.957,0.327,0.05,-0.02,0.01,-0.222,0.069,0.141,-0.06,-0.025,0.01,0.025
1973,1pee,oxidoreductase,HEM_A_201,0,HIS-IMD,HIS,IMD,574.0,0.269,-0.683,-0.054,-0.205,0.002,0.082,-0.087,0.046,-0.091,-0.196,0.018,0.056
1974,1pha,oxidoreductase,HEM_A_417,0,CYS-PFZ,CYS,PFZ,450.0,0.246,-0.195,0.036,-0.152,-0.004,-0.053,-0.013,-0.049,-0.027,0.014,-0.004,0.014
1975,1phb,oxidoreductase,HEM_A_417,0,CYS-PFZ,CYS,PFZ,463.0,0.341,-0.22,-0.191,-0.176,-0.026,-0.12,0.03,-0.082,0.014,-0.006,0.027,0.0
1976,1phc,oxidoreductase,HEM_A_417,0,CYS-HOH,CYS,HOH,446.0,0.144,-0.354,0.087,-0.093,0.009,-0.144,0.14,-0.074,0.047,0.018,0.008,0.016
1977,1phd,oxidoreductase,HEM_A_417,0,CYS-PIW,CYS,PIW,451.0,0.238,-0.212,-0.008,-0.142,0.034,-0.051,0.047,-0.046,0.044,0.003,0.02,0.036
1978,1phe,oxidoreductase,HEM_A_417,0,CYS-SO4,CYS,SO4,435.0,0.132,-0.539,-0.008,-0.087,0.013,-0.154,-0.079,-0.065,-0.08,0.028,-0.053,0.038
1979,1phf,oxidoreductase,HEM_A_417,0,CYS-PIM,CYS,PIM,447.0,0.268,-0.114,-0.061,-0.149,0.015,-0.114,0.04,-0.095,0.002,-0.016,0.005,0.043
1980,1phg,oxidoreductase,HEM_A_417,0,CYS-MYT,CYS,MYT,465.0,0.24,-0.106,-0.015,-0.123,0.006,-0.029,-0.004,-0.127,-0.004,-0.036,0.004,0.068
1981,1pkf,oxidoreductase,HEM_A_440,0,CYS,CYS,,451.0,-0.644,-0.22,-0.126,0.124,-0.022,-0.059,0.128,0.009,-0.435,0.26,0.017,0.045
1984,1pm1,oxidoreductase,HEM_X_180,0,HIS-IMD,HIS,IMD,530.0,0.097,-1.023,0.027,0.097,-0.014,0.048,-0.018,0.011,-0.008,-0.02,-0.012,0.006
1987,1po5,oxidoreductase,HEM_A_500,0,CYS,CYS,,472.0,-0.285,-0.108,-0.039,-0.058,0.015,0.005,-0.222,-0.074,-0.068,0.057,0.013,0.013
2012,1q1f,oxygen carrier,HEM_A_200,0,HIS-HIS,HIS,HIS,515.0,0.044,0.571,-0.174,0.102,0.064,0.295,-0.187,-0.035,-0.069,-0.076,0.028,-0.036
2017,1q5d,oxidoreductase,HEM_A_440,0,CYS-HOH,CYS,HOH,440.0,-0.571,-0.369,-0.054,-0.091,0.002,-0.04,0.152,-0.019,-0.099,0.03,-0.001,0.034
2018,1q5e,oxidoreductase,HEM_A_440,0,CYS,CYS,,444.0,-0.64,-0.39,-0.119,-0.06,0.055,0.029,0.134,0.0,-0.088,-0.021,-0.049,-0.102
2023,1qcr,unclassified,HEM_C_609,0,,,,828.0,-0.61,-0.212,0.384,-0.11,0.02,-0.3,0.192,-0.03,0.16,-0.198,-0.021,-0.191
2045,1qhu,oxidoreductase,HEM_A_500,0,HIS-HIS,HIS,HIS,516.0,0.252,0.038,0.029,-0.033,-0.003,0.118,0.036,-0.002,-0.03,-0.138,-0.052,0.138
2072,1qmq,oxidoreductase,HEM_A_417,0,CYS-HOH,CYS,HOH,416.0,-0.151,-0.296,0.114,-0.244,0.032,-0.052,-0.021,-0.021,-0.006,-0.026,-0.008,0.023
2076,1qo4,oxidoreductase,HEM_A_374,0,HIS,HIS,,419.0,-1.036,0.399,-0.002,-0.043,0.017,-0.033,0.119,0.005,-0.009,-0.071,0.03,-0.019
2105,1qw6,oxidoreductase,HEM_A_900,0,CYS,CYS,,570.0,-0.556,-0.476,0.63,-0.115,0.013,-0.078,0.022,-0.051,0.065,0.033,0.048,0.056
2106,1qwc,oxidoreductase,HEM_A_900,0,CYS,CYS,,540.0,-0.965,-0.749,0.723,-0.007,0.042,0.074,-0.004,-0.141,-0.183,-0.119,0.007,0.044
2135,1r9o,oxidoreductase,HEM_A_500,0,CYS-HOH,CYS,HOH,382.0,-0.481,0.151,-0.045,-0.147,0.025,-0.256,-0.016,-0.035,-0.148,-0.095,-0.043,0.0
2136,1rap,electron transporter,HEM_A_104,0,HIS-MET,HIS,MET,320.0,-0.24,-0.682,-0.079,-0.034,-0.033,0.166,-0.212,-0.007,0.029,-0.134,-0.067,0.053
2137,1raq,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,317.0,-0.18,-0.808,-0.1,-0.072,0.019,0.246,-0.116,0.034,0.013,0.063,-0.109,-0.019
2140,1re9,oxidoreductase,HEM_A_501,0,CYS,CYS,,420.0,0.028,-0.34,-0.035,-0.132,0.004,-0.052,0.014,-0.038,0.013,-0.02,0.01,0.011
2141,1rf9,oxidoreductase,HEM_A_417,0,CYS-HOH,CYS,HOH,457.0,0.106,-0.292,-0.044,-0.097,0.011,0.013,-0.052,-0.154,-0.009,0.032,-0.029,-0.008
2142,1rom,oxidoreductase,HEM_A_501,0,CYS,CYS,,465.0,-0.074,-0.313,-0.274,-0.122,0.01,-0.072,0.081,-0.029,0.082,-0.073,-0.017,0.061
2167,1rse,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,572.0,-0.005,0.023,-0.305,-0.149,-0.021,0.23,0.056,0.009,0.021,0.061,-0.037,0.041
2170,1rtx,transferase,HEM_A_125,0,HIS-HIS,HIS,HIS,445.0,-0.085,-0.271,-0.02,-0.024,0.002,-0.011,-0.043,0.002,-0.01,0.042,0.029,0.02
2176,1ryc,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,461.0,-0.47,0.219,-0.011,-0.115,0.022,-0.025,0.141,0.002,0.012,0.048,-0.005,-0.038
2183,1s1f,oxidoreductase,HEM_A_430,0,CYS-PIM,CYS,PIM,503.0,-0.17,0.034,-0.003,-0.195,0.012,-0.042,-0.012,0.008,-0.011,-0.003,-0.005,0.027
2198,1s69,oxygen carrier,HEM_A_125,0,HIS-CYN,HIS,CYN,471.0,-0.123,-1.006,-0.166,-0.024,0.01,-0.111,-0.015,-0.007,0.031,0.084,-0.001,0.026
2199,1s6a,oxygen carrier,HEM_A_125,0,HIS-AZI,HIS,AZI,422.0,-0.124,-1.522,-0.169,0.013,0.021,-0.096,0.02,0.001,0.048,0.142,0.07,0.055
2224,1si6,oxidoreductase,HEM_X_300,0,CYS-CMO,CYS,CMO,464.0,-0.15,-0.327,-0.11,-0.236,0.021,0.094,0.086,-0.008,-0.084,0.0,-0.037,0.007
2233,1sk7,oxidoreductase,HEM_A_300,0,HIS-HOH,HIS,HOH,579.0,-0.475,-0.106,-0.079,-0.065,-0.028,-0.055,0.067,0.062,-0.065,0.09,0.009,0.034
2244,1sog,oxidoreductase,HEM_A_296,0,HIS,HIS,,402.0,-0.53,0.263,0.079,-0.155,0.004,-0.075,0.125,-0.011,0.028,-0.01,0.003,0.014
2255,1spe,oxygen carrier,HEM_A_155,0,HIS-CMO,HIS,CMO,569.0,-0.13,-0.09,-0.172,0.174,-0.018,0.053,0.147,0.111,0.243,-0.159,0.019,-0.043
2273,1stq,oxidoreductase,HEM_A_600,0,HIS-HOH,HIS,HOH,424.0,-0.531,0.249,0.09,-0.144,0.005,-0.076,0.123,-0.016,0.016,-0.017,-0.001,0.013
2274,1suo,oxidoreductase,HEM_A_500,0,CYS-CPZ,CYS,CPZ,380.0,-0.118,0.159,0.038,-0.117,0.008,-0.292,0.034,0.027,0.155,0.017,-0.017,-0.006
2275,1swm,oxygen carrier,HEM_A_154,0,HIS-AZI,HIS,AZI,511.0,0.107,-0.048,-0.264,-0.099,0.01,0.245,0.02,0.026,0.132,-0.003,-0.049,-0.047
2276,1sxu,oxidoreductase,HEM_A_185,0,HIS-IMD,HIS,IMD,474.0,0.255,0.551,-0.091,-0.079,0.049,-0.169,0.074,0.02,0.025,0.039,-0.01,0.018
2277,1sxw,oxidoreductase,HEM_A_185,0,HIS-NO,HIS,NO,462.0,0.318,0.782,-0.113,0.004,0.011,-0.116,0.056,-0.015,-0.043,-0.005,-0.008,0.011
2278,1sxx,oxidoreductase,HEM_A_185,0,HIS-NO,HIS,NO,516.0,0.199,0.82,-0.116,-0.006,-0.001,-0.146,0.098,-0.002,-0.012,-0.011,0.016,0.017
2279,1sxy,oxidoreductase,HEM_A_185,0,HIS-NH4,HIS,NH4,485.0,0.284,0.693,-0.085,-0.016,0.012,-0.13,0.061,-0.011,0.011,0.02,0.001,0.014
2280,1sy0,oxidoreductase,HEM_A_185,0,HIS-NH4,HIS,NH4,448.0,0.358,0.682,-0.037,-0.006,0.015,-0.154,0.023,-0.019,0.01,-0.002,-0.017,0.027
2281,1sy1,oxidoreductase,HEM_A_185,0,HIS-NO,HIS,NO,498.0,0.23,0.901,-0.105,0.009,0.011,-0.154,0.035,-0.019,-0.005,-0.032,-0.016,0.018
2282,1sy2,oxidoreductase,HEM_A_185,0,HIS-NH4,HIS,NH4,480.0,0.228,0.638,-0.085,-0.007,-0.009,-0.118,0.073,-0.001,0.043,0.031,0.027,0.005
2283,1sy3,oxidoreductase,HEM_A_185,0,HIS-NO,HIS,NO,468.0,0.302,0.765,-0.112,-0.016,0.018,-0.133,0.08,-0.01,0.011,-0.021,0.015,0.009
2290,1t68,oxidoreductase,HEM_X_201,0,HIS-NO,HIS,NO,492.0,0.471,-1.322,0.143,0.109,-0.022,-0.071,-0.097,0.014,-0.015,-0.068,0.017,-0.028
2291,1t85,oxidoreductase,HEM_A_417,0,CYS-CMO,CYS,CMO,439.0,-0.041,-0.421,-0.249,-0.18,-0.004,0.124,-0.046,-0.06,-0.029,0.05,0.004,-0.004
2298,1t93,oxidoreductase,HEM_A_430,0,CYS,CYS,,452.0,-0.134,-0.008,-0.148,-0.192,0.011,-0.04,-0.006,0.005,0.008,0.011,-0.014,0.054
2299,1tes,oxygen carrier,HEM_A_155,0,HIS-ETN,HIS,ETN,542.0,0.215,0.129,-0.255,-0.105,-0.004,0.132,-0.027,0.039,0.037,0.14,-0.018,0.026
2320,1tqn,oxidoreductase,HEM_A_508,0,CYS-HOH,CYS,HOH,432.0,-0.336,0.192,-0.148,-0.091,0.021,-0.017,0.165,0.052,-0.006,-0.054,-0.032,0.016
2321,1tu9,oxidoreductase,HEM_A_301,0,HIS-PPI,HIS,PPI,479.0,-0.061,-0.592,-0.167,-0.157,0.03,0.184,0.009,-0.023,0.272,-0.053,-0.273,0.035
2322,1u0x,oxidoreductase,HEM_A_185,0,HIS-NH3,HIS,NH3,455.0,0.257,0.476,-0.066,-0.009,-0.005,-0.135,0.05,0.012,-0.001,-0.037,0.006,0.009
2323,1u13,oxidoreductase,HEM_A_460,0,CYS-HOH,CYS,HOH,431.0,-0.036,-0.02,-0.013,-0.179,0.003,-0.001,0.007,-0.007,0.015,0.041,0.06,0.017
2338,1u75,electron transporter,HEC_B_1101,0,HIS-MET,HIS,MET,376.0,-0.504,-0.421,0.387,-0.141,0.036,-0.018,-0.105,0.026,0.135,-0.192,0.277,-0.006
2339,1u7r,oxygen carrier,HEM_A_154,0,HIS-IMD,HIS,IMD,564.0,0.231,-0.056,-0.22,-0.119,0.015,0.174,0.033,-0.041,0.01,0.034,-0.009,0.006
2340,1u7s,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,501.0,0.21,0.013,-0.232,-0.173,0.008,0.218,0.048,0.014,0.018,-0.016,-0.0,0.012
2347,1u9u,oxidoreductase,HEM_A_90,0,HIS-HIS,HIS,HIS,522.0,0.398,0.223,-0.146,-0.053,0.008,-0.026,-0.097,0.093,0.057,-0.096,0.009,0.061
2348,1ub2,oxidoreductase,HEM_A_721,0,HIS,HIS,,422.0,-0.543,-0.007,0.061,-0.04,-0.013,0.059,0.031,-0.013,0.011,-0.032,-0.115,-0.009
2349,1ubb,oxidoreductase,HEM_A_300,0,HIS,HIS,,567.0,-0.245,-0.27,-0.108,-0.182,0.0,-0.074,-0.179,-0.013,-0.072,-0.032,-0.015,0.004
2362,1ue8,oxidoreductase,HEM_A_410,0,CYS-HOH,CYS,HOH,404.0,0.006,-0.011,0.017,-0.222,-0.001,0.002,0.001,0.003,-0.004,0.156,0.023,0.06
2373,1ulw,oxidoreductase,HEM_A_501,0,CYS,CYS,,425.0,-0.02,-0.027,-0.062,-0.23,-0.024,-0.003,0.001,-0.004,0.098,-0.005,-0.055,-0.047
2374,1ulx,oxidoreductase,HEM_A_300,0,HIS-CMO,HIS,CMO,569.0,-0.192,-0.16,-0.108,-0.206,-0.002,-0.154,-0.193,-0.058,-0.009,0.006,-0.042,0.018
2391,1uvx,oxygen carrier,HEM_A_1122,0,HIS-CYN,HIS,CYN,445.0,0.076,-1.142,-0.069,-0.138,0.005,-0.16,0.128,0.013,0.059,-0.036,0.017,0.024
2392,1uvy,oxygen carrier,HEM_A_1117,0,HIS-HOH,HIS,HOH,524.0,-0.39,0.097,0.338,-0.041,-0.008,-0.032,-0.056,-0.002,0.055,-0.028,-0.1,0.034
2393,1ux8,oxygen carrier,HEM_A_700,0,HIS-CYN,HIS,CYN,444.0,-0.127,0.197,0.228,-0.294,-0.03,-0.151,0.159,0.002,-0.074,0.01,0.007,0.119
2398,1v07,oxygen carrier,HEM_A_144,0,HIS-OXY,HIS,OXY,548.0,-0.007,-0.072,-0.054,-0.183,0.004,0.059,0.096,-0.048,-0.037,-0.025,-0.05,0.01
2399,1v0h,oxidoreductase,HEM_X_251,0,HIS-SHA,HIS,SHA,415.0,-0.745,0.133,-0.129,-0.061,0.008,-0.116,0.083,-0.043,0.004,-0.04,-0.03,0.004
2420,1v5h,oxygen carrier,HEM_A_191,0,HIS-HIS,HIS,HIS,479.0,-0.127,0.021,0.075,-0.434,0.044,0.066,0.05,-0.008,-0.308,-0.368,-0.018,0.054
2432,1vag,oxidoreductase,HEM_A_900,0,CYS,CYS,,555.0,-0.835,-0.288,0.648,-0.114,0.032,-0.015,0.019,-0.091,-0.029,-0.006,0.004,0.065
2443,1vgi,oxidoreductase,HEM_A_300,0,HIS-HOH,HIS,HOH,549.0,-0.145,-0.454,-0.11,-0.127,0.004,-0.098,-0.051,-0.036,-0.038,0.029,-0.033,-0.002
2454,1vxa,oxygen carrier,HEM_A_155,0,HIS,HIS,,510.0,0.099,0.024,-0.379,0.219,-0.014,0.046,-0.059,-0.02,-0.255,-0.334,-0.092,-0.066
2455,1vxb,oxygen carrier,HEM_A_156,0,HIS-HOH,HIS,HOH,529.0,0.316,0.11,-0.401,0.193,0.048,-0.045,-0.316,0.009,-0.54,0.131,-0.406,-0.12
2456,1vxc,oxygen carrier,HEM_A_155,0,HIS-CMO,HIS,CMO,501.0,0.119,-0.028,-0.212,-0.051,-0.016,0.17,0.082,-0.028,0.057,-0.016,-0.057,-0.0
2457,1vxd,oxygen carrier,HEM_A_155,0,HIS-HOH,HIS,HOH,525.0,0.061,-0.031,-0.37,0.018,-0.023,0.179,-0.017,-0.08,0.119,-0.131,-0.04,-0.011
2458,1vxe,hydrolase,HEM_A_156,0,HIS-HOH,HIS,HOH,522.0,0.118,-0.173,-0.235,-0.223,-0.018,0.159,0.077,-0.026,-0.07,0.082,-0.041,-0.017
2459,1vxf,oxygen carrier,HEM_A_155,0,HIS-CMO,HIS,CMO,487.0,0.119,-0.014,-0.154,0.039,0.009,0.203,0.015,-0.013,0.029,-0.022,-0.067,-0.027
2460,1vxg,oxygen carrier,HEM_A_155,0,HIS-HOH,HIS,HOH,550.0,0.059,0.08,-0.385,0.15,-0.034,0.139,0.037,-0.038,-0.059,-0.127,0.013,-0.004
2461,1vxh,oxygen carrier,HEM_A_156,0,HIS-HOH,HIS,HOH,513.0,0.121,-0.118,-0.251,-0.148,-0.029,0.188,0.095,-0.078,-0.09,0.04,-0.036,-0.01
2464,1w0e,oxidoreductase,HEM_A_1501,0,CYS,CYS,,438.0,-0.298,0.05,0.029,-0.224,0.004,-0.034,0.008,0.007,-0.028,0.052,-0.01,0.116
2465,1w0f,oxidoreductase,HEM_A_1501,0,CYS,CYS,,460.0,-0.115,-0.006,-0.052,-0.322,-0.003,-0.002,0.009,0.003,-0.016,0.038,0.058,0.02
2466,1w0g,oxidoreductase,HEM_A_1501,0,CYS-MYT,CYS,MYT,466.0,-0.166,-0.264,0.129,0.078,-0.009,0.086,0.135,0.044,-0.072,0.258,0.041,0.073
2467,1w2l,oxidoreductase,HEC_A_1100,0,HIS-MET,HIS,MET,351.0,-0.065,-0.313,-0.25,-0.05,0.013,-0.042,0.015,0.061,-0.002,0.031,0.007,0.008
2468,1w4w,oxidoreductase,HEM_A_1307,0,HIS-FMT,HIS,FMT,393.0,-0.752,-0.067,0.01,-0.177,0.009,-0.179,0.22,-0.02,-0.005,0.017,0.005,-0.012
2469,1w4y,oxidoreductase,HEM_A_1307,0,HIS-CMO,HIS,CMO,389.0,-0.751,0.222,-0.038,-0.187,0.017,-0.204,0.146,-0.019,-0.013,0.002,0.013,0.02
2474,1w92,oxygen carrier,HEM_A_1149,0,HIS-CMO,HIS,CMO,551.0,-0.114,0.981,-0.096,-0.02,-0.02,-0.059,0.056,-0.005,0.008,-0.076,-0.017,0.004
